
---- CODIGOS SHANNON FANO ----

CARACTER -----     PROBABILIDAD     ------     CODIGO     -----     INFORMACION     -----     ENTROPIA TOTAL     -----     LONG MEDIA     ----     RENDIMIENTO     --- REDUNDANCIA

- que -			0,058				00000 			 4,118			 9,228				 9,307			 0,992		 0,008
- aquello -			0,000				10100101011 			 11,300				- 					- 
- ningún -			0,000				10100101100 			 11,300				- 					- 
- debía -			0,000				10100101101 			 11,300				- 					- 
- ocasión -			0,000				10100101110 			 11,300				- 					- 
- libertad. -			0,000				10100101111 			 11,300				- 					- 
- llevar -			0,000				101001100000 			 11,300				- 					- 
- cuales, -			0,000				101001100001 			 11,300				- 					- 
- cielo -			0,000				10100110001 			 11,300				- 					- 
- merced -			0,000				101001100100 			 11,300				- 					- 
- noche, -			0,000				101001100101 			 11,300				- 					- 
- preguntó -			0,000				10100110011 			 11,300				- 					- 
- venían -			0,000				10100110100 			 11,300				- 					- 
- El -			0,000				10100110101 			 11,300				- 					- 
- dicho -			0,000				10100110110 			 11,300				- 					- 
- también -			0,000				10100110111 			 11,300				- 					- 
- natural -			0,000				101001110000 			 11,300				- 					- 
- él, -			0,000				101001110001 			 11,300				- 					- 
- bien, -			0,000				10100111001 			 11,300				- 					- 
- Argel, -			0,000				10100111010 			 11,300				- 					- 
- De -			0,000				10100111011 			 11,300				- 					- 
- Todo -			0,000				10100111100 			 11,300				- 					- 
- dando -			0,000				10100111101 			 11,300				- 					- 
- poder -			0,000				10100111110 			 11,300				- 					- 
- aquellos -			0,000				10100111111 			 11,300				- 					- 
- mío, -			0,000				101010000000 			 11,300				- 					- 
- decía -			0,000				101010000001 			 11,300				- 					- 
- cura -			0,000				10101000001 			 11,300				- 					- 
- quería -			0,000				101010000100 			 11,300				- 					- 
- mano, -			0,000				101010000101 			 11,300				- 					- 
- oidor, -			0,000				10101000011 			 11,300				- 					- 
- delante -			0,000				10101000100 			 11,300				- 					- 
- algo -			0,000				10101000101 			 11,300				- 					- 
- palabras -			0,000				10101000110 			 11,300				- 					- 
- mora -			0,000				10101000111 			 11,300				- 					- 
- lágrimas -			0,000				101010010000 			 11,300				- 					- 
- libertad, -			0,000				101010010001 			 11,300				- 					- 
- gran -			0,000				10101001001 			 11,300				- 					- 
- hermosura -			0,000				10101001010 			 11,300				- 					- 
- gusto -			0,000				10101001011 			 11,300				- 					- 
- menos -			0,000				101010011000 			 11,300				- 					- 
- venta -			0,000				101010011001 			 11,300				- 					- 
- venir -			0,000				10101001101 			 11,300				- 					- 
- parecía -			0,000				10101001110 			 11,300				- 					- 
- primer -			0,000				10101001111 			 11,563				- 					- 
- Argel -			0,000				101010100000 			 11,563				- 					- 
- rescatado, -			0,000				101010100001 			 11,563				- 					- 
- dice -			0,000				10101010001 			 11,563				- 					- 
- fin, -			0,000				101010100100 			 11,563				- 					- 
- señora -			0,000				101010100101 			 11,563				- 					- 
- Morato, -			0,000				10101010011 			 11,563				- 					- 
- estar -			0,000				101010101000 			 11,563				- 					- 
- vi -			0,000				101010101001 			 11,563				- 					- 
- jardín, -			0,000				10101010101 			 11,563				- 					- 
- -No -			0,000				101010101100 			 11,563				- 					- 
- volver -			0,000				101010101101 			 11,563				- 					- 
- hacia -			0,000				10101010111 			 11,563				- 					- 
- brazos -			0,000				101010110000 			 11,563				- 					- 
- adonde -			0,000				101010110001 			 11,563				- 					- 
- dinero, -			0,000				10101011001 			 11,563				- 					- 
- oro, -			0,000				101010110100 			 11,563				- 					- 
